total_bases,id,longitude,latitude,address
24,153,-3.6956047,40.4440297,Calle María de Guzmán nº 58
24,138,-3.684715,40.4585318,Avenida de Alberto Alcocer nº 22
27,102,-3.6801307,40.4226906,Avenida de Menéndez Pelayo nº 3
24,104,-3.6738714,40.4261851,Calle Alcántara nº 2
24,71,-3.693225,40.4108472,Calle Almadén nº 28
24,9,-3.6954403,40.4278682,Plaza de Alonso Martínez nº 5
24,125,-3.7188898,40.4309797,Calle Altamirano nº 24
21,45,-3.6991147,40.4122047,Calle Atocha nº 54
24,69,-3.6904525,40.4165605,Calle Antonio Maura nº 15
24,117,-3.7175435,40.4337322,Calle Arcipreste de Hita nº 12
24,118,-3.7175115,40.4337036,Calle Arcipreste de Hita nº 12
24,84,-3.6902255,40.4075685,Paseo de la Infanta Isabel nº 3
27,85,-3.6901234,40.4074902,Paseo de la Infanta Isabel nº 3
24,62,-3.697895,40.4222862,Calle Augusto Figueroa nº 33
24,92,-3.6832566,40.427736,Calle Ayala nº 44
30,21,-3.6954615,40.4192342,Calle Alcalá nº 49
21,58,-3.700423,40.4266828,Calle Barceló nº 7
21,99,-3.6909648,40.422699,Paseo de Recoletos nº 32-34
24,156,-3.7039582,40.4412115,Calle Bravo Murillo nº 44
27,35,-3.7068969,40.4163638,Calle Mayor nº 20
24,18,-3.7038312,40.4232649,Plaza de Carlos Cambronero nº 2
24,37,-3.7031808,40.4157138,Calle Carretas nº 8
24,53,-3.6992759,40.4060941,Ronda de Atocha nº 34
21,109,-3.6895336,40.4268331,Paseo de la Castellana nº 4
24,151,-3.690861,40.4453307,Paseo de la Castellana nº 106
24,137,-3.6894151,40.4591366,Paseo de la Castellana nº 164
24,167,-3.6879154,40.4334087,Paseo de la Castellana nº 42
24,147,-3.6905604,40.4488924,Paseo de la Castellana nº 124
27,101,-3.6821793,40.422064,Calle Alcalá nº 111
24,160,-3.7154329,40.438994,Calle Cea Bermúdez nº 59
21,91,-3.6926217,40.4186148,Paseo del Prado nº 1
24,97,-3.6865463,40.4262945,Calle Claudio Coello nº 45
24,7,-3.698447,40.424148,Calle Hortaleza nº 63
24,172,-3.6763439,40.4572466,Calle Colombia nº 7
18,111,-3.6877227,40.4251002,Calle Serrano nº 34
18,112,-3.687745,40.424963,Calle Serrano nº 34
24,113,-3.6884369,40.4215246,Calle Serrano nº 6
22,81,-3.670422,40.40635,Plaza del Conde de Casal nº 8
24,44,-3.7049407,40.4138846,Plaza del Conde de Romanones nº 9
24,14,-3.7104417,40.4273264,Calle Conde Duque nº 22
24,94,-3.6752024,40.4272582,Calle Ayala nº 102
24,86,-3.691987,40.409297,Plaza del Emperador Carlos V nº 11
24,166,-3.678492,40.4345973,Calle Diego de León nº 52
24,75,-3.6738865,40.4159569,Calle Doce de Octubre nº 28
24,148,-3.6797296,40.4483269,Avenida del Doctor Arce nº 45
24,93,-3.6838303,40.4313576,Calle Velázquez nº 75
24,51,-3.7028265,40.4047851,Glorieta de Embajadores nº 6
24,52,-3.7022591,40.4056107,Glorieta de Embajadores nº 2
24,135,-3.6971829,40.3919385,Paseo de la Chopera nº 14
21,72,-3.6912023,40.4128372,Calle Espalter nº 1
24,168,-3.708439,40.4338516,Calle Fernando el Católico nº 19
24,122,-3.7170448,40.4253944,Calle Evaristo San Miguel nº 2
27,6,-3.7020599,40.428528,Calle Fuencarral nº 108
24,163,-3.7015686,40.4344731,Calle del General Álvarez de Castro nº 2
24,164,-3.6948626,40.435285,Calle Fernández de la Hoz nº 29
30,95,-3.6837876,40.4250361,Calle Goya nº 18
24,142,-3.6990077,40.4527164,Avenida del General Perón nº 1-4
24,143,-3.692651,40.4522938,Avenida del General Perón nº 36
24,149,-3.7036675,40.4463667,Calle Santa Engracia nº 168
24,131,-3.7133412,40.4306458,Calle Guzmán el Bueno nº 2
21,8,-3.6977715,40.4251906,Calle Hortaleza nº 75
24,31,-3.6956178,40.4132798,Calle Jesús nº 1
24,67,-3.6708959,40.4179237,Calle Ibiza nº 62
24,38,-3.7036825,40.4146755,Plaza de Jacinto Benavente
24,25,-3.7065376,40.4200783,Calle Jacometrezo nº 3
24,47,-3.7025024,40.4101564,Calle Lavapiés nº 34-36
24,106,-3.6691523,40.4231526,Calle Jorge Juan nº 131
24,161,-3.6982209,40.4385316,Calle José Abascal nº 33
24,159,-3.6907784,40.4396792,Calle José Gutiérrez Abascal nº 2
24,170,-3.6758555,40.4323655,Calle Juan Bravo nº 50
24,126,-3.6882407,40.400781,Calle Juan Martín el Empecinado nº 14
24,5,-3.7025875,40.4285524,Calle Manuela Malasaña nº 5
24,169,-3.6993465,40.4309524,Calle Manuel Silvela nº 20
