name,total_bases,number,id,address,COORDENADAS
Agustín de Betancourt,24,134,153,Calle María de Guzmán nº 58,"-3.6956047, 40.4440297"
Alberto Alcocer,24,158,138,Avenida de Alberto Alcocer nº 22,"-3.684715, 40.4585318"
Alcalá,27,97,102,Avenida de Menéndez Pelayo nº 3,"-3.6801307, 40.4226906"
Alcántara,24,99,104,Calle Alcántara nº 2,"-3.6738714, 40.4261851"
Almadén,24,67,71,Calle Almadén nº 28,"-3.693225, 40.4108472"
Alonso Martínez,24,8,9,Plaza de Alonso Martínez nº 5,"-3.6954403, 40.4278682"
Altamirano,24,117,125,Calle Altamirano nº 24,"-3.7188898, 40.4309797"
Antón Martín,21,41,45,Calle Atocha nº 54,"-3.6991147, 40.4122047"
Antonio Maura,24,65,69,Calle Antonio Maura nº 15,"-3.6904525, 40.4165605"
Arcipreste de Hita A,24,111a,117,Calle Arcipreste de Hita nº 12,"-3.7175435, 40.4337322"
Arcipreste de Hita B,24,111b,118,Calle Arcipreste de Hita nº 12,"-3.7175115, 40.4337036"
Atocha A,24,80a,84,Paseo de la Infanta Isabel nº 3,"-3.6902255, 40.4075685"
Atocha B,27,80b,85,Paseo de la Infanta Isabel nº 3,"-3.6901234, 40.4074902"
Augusto Figueroa,24,58,62,Calle Augusto Figueroa nº 33,"-3.697895, 40.4222862"
Ayala,24,87,92,Calle Ayala nº 44,"-3.6832566, 40.427736"
Banco de España A,30,20a,21,Calle Alcalá nº 49,"-3.6954615, 40.4192342"
Barceló,21,54,58,Calle Barceló nº 7,"-3.700423, 40.4266828"
Biblioteca Nacional,21,94,99,Paseo de Recoletos nº 32-34,"-3.6909648, 40.422699"
Bravo Murillo 44,24,131,156,Calle Bravo Murillo nº 44,"-3.7039582, 40.4412115"
Calle Mayor,27,31,35,Calle Mayor nº 20,"-3.7068969, 40.4163638"
Carlos Cambronero,24,17,18,Plaza de Carlos Cambronero nº 2,"-3.7038312, 40.4232649"
Carretas,24,33,37,Calle Carretas nº 8,"-3.7031808, 40.4157138"
Casa Encendida,24,49,53,Ronda de Atocha nº 34,"-3.6992759, 40.4060941"
Castellana,21,104,109,Paseo de la Castellana nº 4,"-3.6895336, 40.4268331"
Castellana 106,24,136,151,Paseo de la Castellana nº 106,"-3.690861, 40.4453307"
Castellana 164,24,157,137,Paseo de la Castellana nº 164,"-3.6894151, 40.4591366"
Castellana 42,24,142,167,Paseo de la Castellana nº 42,"-3.6879154, 40.4334087"
Castellana frente a Hermanos Pinzón,24,150,147,Paseo de la Castellana nº 124,"-3.6905604, 40.4488924"
Castelló,27,96,101,Calle Alcalá nº 111,"-3.6821793, 40.422064"
Cea Bermúdez,24,128,160,Calle Cea Bermúdez nº 59,"-3.7154329, 40.438994"
Cibeles,21,86,91,Paseo del Prado nº 1,"-3.6926217, 40.4186148"
Claudio Coello,24,92,97,Calle Claudio Coello nº 45,"-3.6865463, 40.4262945"
Colegio Arquitectos,24,6,7,Calle Hortaleza nº 63,"-3.698447, 40.424148"
Colombia,24,160,172,Calle Colombia nº 7,"-3.6763439, 40.4572466"
Colón A,18,106a,111,Calle Serrano nº 34,"-3.6877227, 40.4251002"
Colón B,18,106b,112,Calle Serrano nº 34,"-3.687745, 40.424963"
Columela,24,107,113,Calle Serrano nº 6,"-3.6884369, 40.4215246"
Conde de Casal,22,77,81,Plaza del Conde de Casal nº 8,"-3.670422, 40.40635"
Conde de Romanones,24,40,44,Plaza del Conde de Romanones nº 9,"-3.7049407, 40.4138846"
Conde Duque,24,13,14,Calle Conde Duque nº 22,"-3.7104417, 40.4273264"
Conde Peñalver,24,89,94,Calle Ayala nº 102,"-3.6752024, 40.4272582"
Cuesta de Moyano,24,81,86,Plaza del Emperador Carlos V nº 11,"-3.691987, 40.409297"
Diego de León 52,24,143,166,Calle Diego de León nº 52,"-3.678492, 40.4345973"
Doce de Octubre,24,71,75,Calle Doce de Octubre nº 28,"-3.6738865, 40.4159569"
Doctor Arce 45,24,147,148,Avenida del Doctor Arce nº 45,"-3.6797296, 40.4483269"
Embajada de Italia,24,88,93,Calle Velázquez nº 75,"-3.6838303, 40.4313576"
Embajadores 1,24,47,51,Glorieta de Embajadores nº 6,"-3.7028265, 40.4047851"
Embajadores 2,24,48,52,Glorieta de Embajadores nº 2,"-3.7022591, 40.4056107"
Entrada Matadero,24,165,135,Paseo de la Chopera nº 14,"-3.6971829, 40.3919385"
Espalter,21,68,72,Calle Espalter nº 1,"-3.6912023, 40.4128372"
Fernando el Católico,24,127,168,Calle Fernando el Católico nº 19,"-3.708439, 40.4338516"
Ferraz,24,115,122,Calle Evaristo San Miguel nº 2,"-3.7170448, 40.4253944"
Fuencarral,27,5,6,Calle Fuencarral nº 108,"-3.7020599, 40.428528"
General Álvarez de Castro,24,126,163,Calle del General Álvarez de Castro nº 2,"-3.7015686, 40.4344731"
General Martínez Campos,24,125,164,Calle Fernández de la Hoz nº 29,"-3.6948626, 40.435285"
General Pardiñas,30,90,95,Calle Goya nº 18,"-3.6837876, 40.4250361"
General Perón 1,24,152,142,Avenida del General Perón nº 1-4,"-3.6990077, 40.4527164"
General Perón con Poeta Joan Maragall,24,153,143,Avenida del General Perón nº 36,"-3.692651, 40.4522938"
Glorieta de los Cuatro Caminos,24,132,149,Calle Santa Engracia nº 168,"-3.7036675, 40.4463667"
Guzmán el Bueno,24,123,131,Calle Guzmán el Bueno nº 2,"-3.7133412, 40.4306458"
Hortaleza,21,7,8,Calle Hortaleza nº 75,"-3.6977715, 40.4251906"
Huertas,24,27,31,Calle Jesús nº 1,"-3.6956178, 40.4132798"
Ibiza,24,63,67,Calle Ibiza nº 62,"-3.6708959, 40.4179237"
Jacinto Benavente,24,34,38,Plaza de Jacinto Benavente,"-3.7036825, 40.4146755"
Jacometrezo,24,22,25,Calle Jacometrezo nº 3,"-3.7065376, 40.4200783"
Jesús y María,24,43,47,Calle Lavapiés nº 34-36,"-3.7025024, 40.4101564"
Jorge Juan,24,101,106,Calle Jorge Juan nº 131,"-3.6691523, 40.4231526"
José Abascal,24,129,161,Calle José Abascal nº 33,"-3.6982209, 40.4385316"
José Gutiérrez Abascal,24,139,159,Calle José Gutiérrez Abascal nº 2,"-3.6907784, 40.4396792"
Juan Bravo 50,24,144,170,Calle Juan Bravo nº 50,"-3.6758555, 40.4323655"
Juan Martín,24,118,126,Calle Juan Martín el Empecinado nº 14,"-3.6882407, 40.400781"
