id,direccion,distrito,longitude,latitude
1514,OFELIA NIETO-FRANCOS RODRIGUEZ,9,-3.7098576727976815,40.459991075120776
1516,DR.FEDERICO RUBIO-FCO.DIEGO,9,-3.7130173091892007,40.45763829956834
1517,DR.FEDERICO RUBIO Y GALI-AV.PABLO IGLESIAS,9,-3.712438086343291,40.45528151979713
1518,DR.FEDERICO RUBIO-JERONIMA LLORENTE,6,-3.708309772200998,40.454108701509846
1519,DR.FEDERICO RUBIO-ABEL,6,-3.7081747229289252,40.452478903151516
1522,SAN FCO.DE SALES-GUZMAN EL BUENO,7,-3.711803014675607,40.4442764501771
1527,LAGO CALAFATE,13,-3.648203476949213,40.38588455612281
1528,GTA.PTE.GARCIA MORENO,7,-3.7136070172445232,40.447607661903355
1530,AV.REINA VICTORIA-GRAL.I.IBERO,7,-3.709442083972762,40.44851618471015
5430,"CALLE DE MIRABEL, 3",10,-3.7798304419383,40.3779995061193
3534,MARQUESADO STA.MARTA-FERNANDO MIJARES,20,-3.621149781654963,40.4496100388113
3539,STA.ENGRACIA-CARACAS,7,-3.695302462399076,40.43245797647746
3543,AV.NIZA-LAS MUSAS,20,-3.606308193971883,40.43447260381514
3545,DR.GARCIA TAPIA-FTE.CARRANTONA,14,-3.6305661524210735,40.40984718455873
3558,AV.BETANZOS-CHANTADA,8,-3.7102558458732884,40.4753939512039
3560,INDALECIO PRIETO-LOS PINILLAS,19,-3.619943577882982,40.40175142325167
3561,INDALECIO PRIETO-JUGLARES,19,-3.61916044329547,40.40373761971434
3565,PZA.CORR.ALONSO AGUILAR,14,-3.657783932898265,40.40909189982365
3566,JUAN ESPLANDIU Nº 9,3,-3.6610507624509077,40.420154404450095
3568,JUAN ESPLANDIU Nº 4,3,-3.6612343775423866,40.4184416347116
3501,Pº ALBERTO PALACIOS-Pº FERROVIARIOS,17,-3.715094684075901,40.34533652812352
3573,GASCUEÑA-FUENSAVIÑAN,20,-3.5693823066836394,40.449921728929155
3575,DR.GARCIA TAPIA-M40,14,-3.6241979515361233,40.40815200516446
3429,JOAQUIN LORENZO-ISLA MALAITA,8,-3.721267047358345,40.47470412879184
3431,ISLA MALAITA-JOAQUIN LORENZO,8,-3.7207614448376853,40.4748604356327
3432,ISLA MALAITA-CESAR MANRIQUE,8,-3.720254057105798,40.47595368171559
3439,GRAL.YAGUE-ORENSE,6,-3.693588523474117,40.458405185303164
3061,AV.PABLO NERUDA-MALGRAT MAR,13,-3.640038855404557,40.39459680058091
3065,SAN CLAUDIO-RAFAEL FERNANDEZ,13,-3.634296492123927,40.39291672205403
3007,CERRO DEL CASTAÑAR-MORALZARZAL,8,-3.712454843581688,40.49592077958302
3066,ANDALUCES-SAN CLAUDIO,13,-3.6356900175460156,40.39199914872848
2948,CTRA.VILLAVERDE A VALLECAS-AV.ROSALES,17,-3.681446759922049,40.36207149121182
2953,CTRA.CCHEL A VILLAVERDE-CENTRO ESCOLAR,17,-3.7100590781636376,40.355809152692544
2958,RAFAELA YBARRA-UNIDAD,12,-3.7108377862950976,40.3716424018997
2960,AV.MORERAS-CGIO.MAYOR ALFONSO X EL SABIO,9,-3.717712391726713,40.45330294536064
