IDESTACION,DENOMINACION,LINEAS,COORDENADAS
6_1514,OFELIA NIETO-FRANCOS RODRIGUEZ,"44, 128","-3.7098576727976815, 40.459991075120776"
6_1516,DR.FEDERICO RUBIO-FCO.DIEGO,44,"-3.7130173091892007, 40.45763829956834"
6_1517,DR.FEDERICO RUBIO Y GALI-AV.PABLO IGLESIAS,44,"-3.712438086343291, 40.45528151979713"
6_1518,DR.FEDERICO RUBIO-JERONIMA LLORENTE,"44, 127, N21","-3.708309772200998, 40.45410870150985"
6_1519,DR.FEDERICO RUBIO-ABEL,"44, 127","-3.7081747229289252, 40.452478903151516"
6_1522,SAN FCO.DE SALES-GUZMAN EL BUENO,"44, N21","-3.711803014675607, 40.4442764501771"
6_1527,LAGO CALAFATE,310,"-3.648203476949213, 40.38588455612281"
6_1528,GTA.PTE.GARCIA MORENO,45,"-3.7136070172445232, 40.447607661903355"
6_1530,AV.REINA VICTORIA-GRAL.I.IBERO,"45, C1, F","-3.709442083972762, 40.44851618471015"
6_5430,"CALLE DE MIRABEL, 3",N19,"-3.7798304419382998, 40.377999506119295"
6_3534,MARQUESADO STA.MARTA-FERNANDO MIJARES,"114, N4","-3.621149781654963, 40.4496100388113"
6_3539,STA.ENGRACIA-CARACAS,3,"-3.695302462399076, 40.43245797647746"
6_3543,AV.NIZA-LAS MUSAS,"38, E2","-3.606308193971882, 40.43447260381514"
6_3545,DR.GARCIA TAPIA-FTE.CARRANTONA,30,"-3.6305661524210735, 40.40984718455873"
6_3558,AV.BETANZOS-CHANTADA,42,"-3.7102558458732884, 40.4753939512039"
6_3560,INDALECIO PRIETO-LOS PINILLAS,"8, 71, 130","-3.619943577882982, 40.40175142325166"
6_3561,INDALECIO PRIETO-JUGLARES,"8, 71, 130","-3.61916044329547, 40.40373761971434"
6_3565,PZA.CORR.ALONSO AGUILAR,20,"-3.657783932898265, 40.40909189982366"
6_3566,JUAN ESPLANDIU Nº 9,215,"-3.6610507624509077, 40.420154404450095"
6_3568,JUAN ESPLANDIU Nº 4,215,"-3.6612343775423866, 40.4184416347116"
6_3501,Pº ALBERTO PALACIOS-Pº FERROVIARIOS,"22, N14","-3.715094684075901, 40.34533652812351"
6_3573,GASCUEÑA-FUENSAVIÑAN,77,"-3.5693823066836394, 40.449921728929155"
6_3575,DR.GARCIA TAPIA-M40,"100, N8","-3.6241979515361233, 40.40815200516446"
6_3429,JOAQUIN LORENZO-ISLA MALAITA,42,"-3.721267047358345, 40.47470412879184"
6_3431,ISLA MALAITA-JOAQUIN LORENZO,137,"-3.7207614448376853, 40.4748604356327"
6_3432,ISLA MALAITA-CESAR MANRIQUE,137,"-3.720254057105797, 40.47595368171559"
6_3439,GRAL.YAGUE-ORENSE,126,"-3.693588523474117, 40.45840518530316"
6_3061,AV.PABLO NERUDA-MALGRAT MAR,"54, 142, 144","-3.640038855404557, 40.39459680058091"
6_3065,SAN CLAUDIO-RAFAEL FERNANDEZ,54,"-3.634296492123927, 40.39291672205402"
6_3007,CERRO DEL CASTAÑAR-MORALZARZAL,134,"-3.712454843581688, 40.495920779583024"
6_3066,ANDALUCES-SAN CLAUDIO,54,"-3.6356900175460156, 40.39199914872848"
6_2948,CTRA.VILLAVERDE A VALLECAS-AV.ROSALES,"23, 130","-3.681446759922049, 40.36207149121182"
6_2953,CTRA.CCHEL A VILLAVERDE-CENTRO ESCOLAR,131,"-3.7100590781636376, 40.355809152692544"
6_2958,RAFAELA YBARRA-UNIDAD,131,"-3.7108377862950976, 40.3716424018997"
6_2960,AV.MORERAS-CGIO.MAYOR ALFONSO X EL SABIO,132,"-3.717712391726713, 40.45330294536065"
6_2961,ALMIRANTE FCO.MORENO-MORERAS,132,"-3.7150056931723983, 40.45495935741304"
6_2964,CESAR MANRIQUE-JUAN SANCHEZ,"127, 132, N21","-3.7192145218290587, 40.475825022343976"
6_2979,AV.MORERAS-RAMIRO DE MAEZTU,132,"-3.719776406648545, 40.45110993528684"
6_2354,J.JOSE MTNEZ.SECO-DIAMANTE,"85, 123","-3.6856015832852993, 40.353677441301066"
6_2355,J.JOSE MTNEZ.SECO-BENITA LOPEZ,"85, 123","-3.68797991095993, 40.35363628782338"
6_2357,VIRGEN DE LOS DESAMPARADOS-TOTANES,"18, 86, 116, N14","-3.697468706975084, 40.353381241314054"
6_2359,VIRGEN DE LOS DESAMPARADOS,"18, 86, 116, N14","-3.697256196823081, 40.353328468095974"
6_2360,ARROYO POZUELO-HINOJO,160,"-3.773572903452133, 40.45394253137675"
6_2366,EMILIO RUBIN-ARTURO SORIA,87,"-3.6602427505785022, 40.462870767433124"
6_2367,MONTEARAGON Nº 8,87,"-3.657844946436264, 40.46493849003709"
6_2371,Cº DE MONTORO-Cº VIEJO DE BURGOS,"87, N2","-3.631688760025235, 40.48194022115932"
6_2374,Cº DEL OLIVAR-GRAMA,87,"-3.627709729070916, 40.47908804575977"
6_2378,GREGORIO SANCHEZ HERRAEZ,"87, N2","-3.635325000173898, 40.479686062353416"
6_2382,AV.BUCARAMANGA-GTA.CHARALA,87,"-3.638202281490677, 40.47455311298288"
6_2385,GRAN VIA HORTALEZA-HARO,87,"-3.650170192692486, 40.46902695705389"
6_2254,ARROYOFRESNO-AV.C.HERRERA ORIA,82,"-3.739896196956853, 40.47914487045952"
6_2255,CANTALEJO-ARROYOFRESNO,82,"-3.7401815443706754, 40.47719711304344"
6_2265,AV.MIRAFLORES-CTRA.DEHESA VILLA,"82, N20","-3.728498662271048, 40.45942462012186"
6_2266,PARANINFO-CIEMAT,"82, N20","-3.7278410260797945, 40.456410758907175"
6_821,FTE.CARRANTONA-ARROYO FONTARRON,"20, 142, 144","-3.6377283988525093, 40.39824023340148"
6_823,PZA.CONDE MACEDA Y TABOADA,"20, 30, N8","-3.6418602456786773, 40.405235441173566"
6_826,PZA.DEL ENCUENTRO,"20, 30, N8","-3.6494128663434364, 40.40752660805816"
6_828,AV.MORATALAZ Nº 21,20,"-3.6591440408278286, 40.409579650866675"
6_830,Cº VINATEROS-M30,"20, 30, 32, N8","-3.6573124219469486, 40.412716225708095"
6_831,ESTRELLA POLAR-PEZ AUSTRAL,"20, 30, 32, N8","-3.663987414384892, 40.41311951986588"
6_833,AV.NAZARET-JESUS APRENDIZ,20,"-3.669282569101337, 40.41343132631321"
6_836,MENENDEZ PELAYO-A.SAINZ BARANDA,"20, 152","-3.6768366009572198, 40.41920718782717"
6_840,JUAN PEREZ ZUÑIGA Nº 19,21,"-3.6472777585663305, 40.444205391826884"
6_776,ALEGRIA DE LA HUERTA-ANOETA,"18, 86, 116, N14","-3.693720130418519, 40.355304719858026"
6_711,Pº PONTONES-Pº IMPERIAL,"17, 41, N16","-3.714236053503206, 40.40676588090402"
6_713,Pº ERMITA DEL SANTO-PTE.SAN ISIDRO,"17, N16","-3.723221780430851, 40.40616946913315"
6_714,VIA CARPETANA-CARAMUEL,"17, N16","-3.7289257188340184, 40.403980479460806"
6_719,VIA CARPETANA-PETIRROJO,17,"-3.742649208794631, 40.39166783880423"
6_1551,AV.JUAN HERRERA-MARTIN FIERRO,"46, 160, 161, N20, N28","-3.7304402936898406, 40.44050251199306"
6_723,"OCAÑA,69","17, N26","-3.7521770157327983, 40.38704765270918"
6_726,AV.RAFAEL FINAT-AV.GRAL.FANJUL,17,"-3.7636364288888995, 40.38563017750489"
